"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"29/04/2021","24,12","23,62","-1,34","23,42","24,29","1,17B"
"28/04/2021","23,40","23,94","3,64","23,36","24,09","1,57B"
"27/04/2021","23,82","23,10","-2,86","23,10","24,17","1,78B"
"26/04/2021","23,85","23,78","0,38","23,61","24,05","785,88M"
"23/04/2021","23,88","23,69","-0,08","23,51","23,94","1,42B"
"22/04/2021","24,14","23,71","-0,46","23,65","24,19","1,10B"
"20/04/2021","24,33","23,82","-1,89","23,76","24,59","2,16B"
"19/04/2021","22,95","24,28","5,80","22,77","24,89","4,70B"
"16/04/2021","23,13","22,95","-0,61","22,81","23,24","1,36B"
"15/04/2021","23,70","23,09","-1,99","23,02","23,83","1,49B"
"14/04/2021","23,41","23,56","1,93","23,20","23,78","2,13B"
"13/04/2021","23,20","23,11","0,00","22,92","23,28","329,73M"
"12/04/2021","23,18","23,11","1,01","23,01","23,58","1,10B"
"09/04/2021","22,74","22,88","-0,21","22,61","23,01","1,07B"
"08/04/2021","23,20","22,93","-1,25","22,61","23,26","1,44B"
"07/04/2021","23,16","23,22","-0,08","23,15","23,55","1,29B"
"06/04/2021","23,40","23,24","-0,08","23,13","23,58","1,06B"
"05/04/2021","23,35","23,26","0,63","22,91","23,41","929,56M"
"01/04/2021","23,50","23,11","-0,87","23,01","23,60","1,09B"
"31/03/2021","23,03","23,32","1,13","23,01","23,44","1,59B"
"30/03/2021","22,87","23,06","0,00","22,81","23,21","938,30M"
"29/03/2021","22,58","23,06","1,58","22,52","23,06","1,13B"
"26/03/2021","22,72","22,70","1,12","22,36","23,11","1,38B"
"25/03/2021","21,96","22,45","1,67","21,44","22,54","1,73B"
"24/03/2021","22,44","22,08","0,09","22,08","22,78","1,40B"
"23/03/2021","22,42","22,06","-3,06","22,06","22,86","1,27B"
"22/03/2021","22,92","22,76","-2,00","22,48","23,01","993,61M"
"19/03/2021","22,52","23,22","3,27","22,43","23,26","2,06B"
"18/03/2021","23,11","22,49","-3,49","22,32","23,12","1,75B"
"17/03/2021","22,39","23,30","3,44","22,36","23,35","1,79B"
"16/03/2021","22,86","22,52","-1,56","22,48","22,91","976,76M"
"15/03/2021","22,36","22,88","2,07","22,35","22,90","1,29B"
"12/03/2021","22,40","22,42","-0,52","22,12","22,62","1,52B"
"11/03/2021","21,89","22,53","4,25","21,88","22,73","2,92B"
"10/03/2021","21,23","21,62","3,47","20,88","21,62","2,38B"
"09/03/2021","20,67","20,89","2,32","20,18","21,24","2,55B"
"08/03/2021","21,23","20,42","-5,76","20,28","21,56","2,96B"
"05/03/2021","21,71","21,66","0,77","21,57","22,47","2,76B"
"04/03/2021","20,61","21,50","4,86","20,43","21,67","2,72B"
"03/03/2021","21,09","20,50","-3,64","19,82","21,18","3,79B"
"02/03/2021","21,13","21,28","-0,05","20,00","21,61","3,08B"
"01/03/2021","22,06","21,29","-1,08","21,21","22,29","1,96B"
"26/02/2021","22,45","21,52","-4,10","21,26","22,66","3,48B"
"25/02/2021","24,19","22,44","-4,96","22,35","24,43","3,98B"
"24/02/2021","23,75","23,61","1,41","23,23","24,19","3,67B"
"23/02/2021","22,30","23,28","12,17","21,97","23,47","6,67B"
"22/02/2021","22,06","20,75","-21,51","20,71","21,71","10,46B"
"19/02/2021","27,12","26,44","-6,63","26,29","27,57","5,79B"
"18/02/2021","29,39","28,32","-1,08","28,10","29,92","3,05B"
"17/02/2021","27,59","28,63","4,04","27,22","28,64","1,54B"
"12/02/2021","26,91","27,52","1,28","26,71","27,57","1,30B"
"11/02/2021","27,23","27,17","1,01","26,97","27,58","1,67B"
"10/02/2021","26,84","26,90","0,94","26,24","27,13","1,41B"
"09/02/2021","27,14","26,65","-2,03","26,49","27,45","1,71B"
"08/02/2021","27,59","27,20","-3,14","26,90","28,35","2,71B"
"05/02/2021","28,04","28,08","0,69","27,40","29,11","3,44B"
"04/02/2021","27,89","27,89","-0,10","27,29","28,05","1,15B"
"03/02/2021","28,04","27,91","0,66","27,73","28,19","1,45B"
"02/02/2021","27,48","27,73","4,10","27,29","28,19","2,54B"
"01/02/2021","26,38","26,64","3,15","25,96","26,78","1,17B"
"29/01/2021","26,63","25,82","-3,85","25,82","26,78","1,77B"
"28/01/2021","26,43","26,86","1,39","26,42","27,53","1,83B"
"27/01/2021","25,94","26,49","1,41","25,67","27,26","1,81B"
"26/01/2021","26,37","26,12","-0,33","25,95","27,06","1,71B"
"22/01/2021","26,06","26,21","-1,67","25,70","26,36","1,33B"
"21/01/2021","27,11","26,66","-2,34","26,62","27,48","1,11B"
"20/01/2021","28,01","27,29","-1,67","27,20","28,18","1,66B"
"19/01/2021","27,56","27,76","2,21","26,74","27,92","1,69B"
"18/01/2021","27,39","27,16","-0,18","27,10","27,91","1,89B"
"15/01/2021","28,11","27,21","-4,52","27,12","28,14","2,21B"
"14/01/2021","28,22","28,49","1,03","27,79","28,71","1,44B"
"13/01/2021","29,68","28,20","-4,83","28,06","29,86","2,69B"
"12/01/2021","30,11","29,64","-0,75","29,64","30,54","1,97B"
"11/01/2021","29,62","29,86","-0,84","29,41","30,05","1,45B"
"08/01/2021","30,44","30,11","0,39","29,37","30,73","2,02B"
"07/01/2021","29,36","29,99","3,09","29,36","30,14","1,67B"
"06/01/2021","29,18","29,09","0,10","29,08","29,90","2,85B"
"05/01/2021","27,96","29,07","3,91","27,32","29,20","2,70B"
"04/01/2021","27,72","27,97","2,01","27,60","28,23","2,08B"
"30/12/2020","27,43","27,42","0,25","27,29","27,57","1,01B"
"29/12/2020","27,46","27,35","0,32","27,08","27,51","815,99M"
"28/12/2020","27,44","27,27","0,82","27,27","27,59","994,49M"
"23/12/2020","26,54","27,04","2,46","26,46","27,33","1,32B"
"22/12/2020","26,32","26,39","0,96","26,17","26,58","988,95M"
"21/12/2020","26,31","26,14","-3,84","25,66","26,60","2,62B"
"18/12/2020","27,19","27,19","-0,50","27,11","27,40","1,22B"
